FEEC,EG005,Estabilidade Transitória de Sistemas de Energia Elétrica,A,Sexta,14:00,16:00,PE26,Walmir De Freitas Filho,
FEEC,EG409,Processos Estocásticos para Engenharia,A,Terça,16:00,18:00,FE22,Renato Da Rocha Lopes,
FEEC,EG409,Processos Estocásticos para Engenharia,A,Terça,19:00,21:00,FE22,Renato Da Rocha Lopes,
FEEC,EG443,Otimização Não Linear,A,Terça,10:00,12:00,PE24,Takaaki Ohishi,
FEEC,EG443,Otimização Não Linear,A,Quinta,10:00,12:00,PE24,Takaaki Ohishi,
FEEC,EG622,Avaliação da Qualidade da Energia Elétrica,A,Quinta,14:00,18:00,,Jose Antenor Pomilio,
FEEC,EG643,Cálculo de Fluxo de Carga,A,Quarta,14:00,18:00,PE35,Fernanda Caseno Trindade Arioli,
FEEC,EG751,Instrumentação Biomédica Avançada,A,Quarta,14:00,18:00,LE30,Eduardo Tavares Costa,
FEEC,EG881,Otimização Linear,A,Terça,10:00,12:00,PE35,"Cecilia De Freitas Morais, Ricardo Coracao De Leao F De Oliveira",
FEEC,EG881,Otimização Linear,A,Quinta,10:00,12:00,PE35,"Cecilia De Freitas Morais, Ricardo Coracao De Leao F De Oliveira",
FEEC,EG921,Tecnologia de Circuitos Integrados,A,Terça,10:00,12:00,FE21,"Jose Alexandre Diniz, Leandro Tiago Manera, Marcos Vinicius Puydinger Dos Santos",
FEEC,EG921,Tecnologia de Circuitos Integrados,A,Quinta,10:00,12:00,FE21,"Jose Alexandre Diniz, Leandro Tiago Manera, Marcos Vinicius Puydinger Dos Santos",
FEEC,EG938,Engenharia de Som I: Eletroacústica,A,Sexta,14:00,18:00,FE12,Bruno Sanches Masiero,
FEEC,EG950,Processamento Digital de Sinais,A,Segunda,19:00,21:00,FE22,Joao Marcos Travassos Romano,34
FEEC,EG950,Processamento Digital de Sinais,A,Quarta,21:00,23:00,FE22,Joao Marcos Travassos Romano,34
FEEC,EG950,Processamento Digital de Sinais,X,Segunda,10:00,12:00,FE13,Levy Boccato,
FEEC,EG950,Processamento Digital de Sinais,X,Quarta,10:00,12:00,FE13,Levy Boccato,
FEEC,ET016,Eletrotécnica,A,Terça,16:00,18:00,FE21,Gilmar Barreto,"8, 13"
FEEC,ET016,Eletrotécnica,B,Quinta,16:00,18:00,FE21,Gilmar Barreto,"8, 13"
FEEC,ET017,Circuitos e Eletrotécnica,A,Terça,08:00,10:00,FE02,RUDOLF FRANCESCO PALUMBO PATERNOST,10
FEEC,ET017,Circuitos e Eletrotécnica,A,Quinta,08:00,10:00,FE02,RUDOLF FRANCESCO PALUMBO PATERNOST,10
FEEC,ET520,Princípios de Conversão de Energia,U,Terça,19:00,21:00,FE02,Walmir De Freitas Filho,"41, 49"
FEEC,ET520,Princípios de Conversão de Energia,U,Quinta,21:00,23:00,FE02,Walmir De Freitas Filho,"41, 49"
FEEC,ET521,Laboratório de Princípios de Conversão de Energia,U,Sexta,19:00,23:00,LE10,Tarcio Andre Dos Santos Barros,41
FEEC,ET521,Laboratório de Princípios de Conversão de Energia,W,Sexta,19:00,23:00,LE10,Tarcio Andre Dos Santos Barros,11
FEEC,ET521,Laboratório de Princípios de Conversão de Energia,X,Segunda,19:00,23:00,LE10,Tarcio Andre Dos Santos Barros,"11, 41"
FEEC,ET521,Laboratório de Princípios de Conversão de Energia,Y,Segunda,19:00,23:00,LE10,Tarcio Andre Dos Santos Barros,"11, 41"
FEEC,ET620,Máquinas Elétricas,A,Segunda,10:00,12:00,FE02,Mateus Giesbrecht,11
FEEC,ET620,Máquinas Elétricas,A,Quarta,10:00,12:00,FE02,Mateus Giesbrecht,11
