Instituto,Disciplina,Turma,Dia da Semana,Horário Inicio,Horário Fim,Sala,Docentes
IB,BA210,BA210 A,Terça,14:00,17:00,BA02,"Alexandre Leite Rodrigues De Oliveira, Paulo Henrique Ferreira Caria"
IB,BA210,BA210 B,Terça,19:00,22:00,BA02,"Alexandre Leite Rodrigues De Oliveira, Paulo Henrique Ferreira Caria"
IB,BA281,BA281 A,Segunda,14:00,17:00,BA02,"Elaine Minatel, Fabio Montico, Valeria Helena Alves Cagnon Quitete"
IB,BA480,BA480 A,Segunda,19:00,22:00,BA02,"Alexandre Leite Rodrigues De Oliveira, Paulo Henrique Ferreira Caria, Wagner Jose Favaro"
IB,BA581,BA581 A,Quarta,14:00,15:00,IB12,"Fabio Montico, Valeria Helena Alves Cagnon Quitete"
IB,BA583,BA583 A,Quarta,08:00,10:00,IB13,Alexandre Leite Rodrigues De Oliveira
IB,BB110,BB110 A,Quarta,08:00,11:00,LB01,Paulo Guimaraes Gandra
IB,BB110,BB110 B,Segunda,19:00,22:00,LB01,Paulo Guimaraes Gandra
IB,BB281,BB281 A,Terça,14:00,15:00,IB12,"Andre Ricardo De Lima Damasio, Daniel Martins De Souza"
IB,BB281,BB281 B,Quarta,19:00,20:00,IB01,"Andre Ricardo De Lima Damasio, Daniel Martins De Souza"
IB,BB315,BB315 A,Terça,08:00,11:00,IB03,"Claudio Chrysostomo Werneck, Fernanda Ramos Gadelha, Paulo Guimaraes Gandra"
IB,BC282,BC282 A,Segunda,08:00,09:00,IB15,"Aline Mara Dos Santos, Cristina Pontes Vicente, Elizabeth Bilsland, Hernandes Faustino De Carvalho, Luciana Bolsoni Lourenco Morandini, Murilo Vieira Geraldo"
IB,BC283,BC283 A,Segunda,19:00,20:00,IB03,"Cristina Pontes Vicente, Hernandes Faustino De Carvalho, Luciana Bolsoni Lourenco Morandini, Murilo Vieira Geraldo"
IB,BC592,BC592 A,Quinta,14:00,18:00,IB13,Murilo Vieira Geraldo
IB,BC680,BC680 A,Sexta,08:00,09:00,IB14,"Aline Mara Dos Santos, Cristina Pontes Vicente, Elizabeth Bilsland, Hernandes Faustino De Carvalho, Luciana Bolsoni Lourenco Morandini, Murilo Vieira Geraldo"
IB,BC692,BC692 A,Quarta,08:00,09:00,IB14,Cristina Pontes Vicente
IB,BC698,BC698 A,Quarta,14:00,16:00,IB14,"Luciana Bolsoni Lourenco Morandini, Murilo Vieira Geraldo"
IB,BD520,BD520 A,Segunda,08:00,09:00,IB04,Laszlo Karoly Nagy
IB,BD520,BD520 B,Quarta,19:00,20:00,IB03,Michel Georges Albert Vincentz
IB,BD792,BD792 A,Quarta,21:00,23:00,IB03,Ana De Medeiros Arnt
IB,BE310,BE310 A,Quinta,10:00,12:00,CB04,Mathias Mistretta Pires
IB,BE310,BE310 B,Quinta,21:00,23:00,IB03,Mathias Mistretta Pires
IB,BE480,BE480 A,Sexta,08:00,12:00,IB16,Raul Costa Pereira
IB,BE480,BE480 B,Quarta,19:00,23:00,IB04,"Martin Francisco Pareja Piaggio, Mathias Mistretta Pires"
IB,BE594,BE594 A,Quarta,10:00,12:00,IB12,"Martin Francisco Pareja Piaggio, Mathias Mistretta Pires"
IB,BE681,BE681 A,Quarta,20:00,22:00,IB14,Martin Francisco Pareja Piaggio
IB,BF092,BF092 A,Terça,16:00,18:00,CB02,Andre Schwambach Vieira
IB,BF223,BF223 A,Sexta,10:00,11:00,IB15,"Carlos Amilcar Parada, Cesar Renato Sartori"
IB,BF284,BF284 A,Quarta,08:00,12:00,IB04,Everardo Magalhaes Carneiro
IB,BF410,BF410 A,Terça,10:00,12:00,IB04,Andre Schwambach Vieira
IB,BF412,BF412 A,Terça,19:00,21:00,IB16,Andre Schwambach Vieira
IB,BF481,BF481 A,Segunda,14:00,16:00,IB04,"Dora Maria Grassi Kassisse, Helena Cristina De Lima Barbosa, Maria Andreia Delbin"
